epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3639.98,2.53296,1.47827,1.8703,0.46582,0.39396,0.35806,0.14083,2.40564,1.60759,1.68539,0.0062704,0.0062704,0.0062704
58,3699.36,2.50469,1.48654,1.87326,0.43536,0.39294,0.38049,0.1384,2.32816,1.36734,1.68095,0.0062038,0.0062038,0.0062038
59,3764.51,2.53764,1.43111,1.87547,0.43452,0.42588,0.38627,0.14492,2.35988,1.38483,1.7268,0.0061372,0.0061372,0.0061372
60,3823.93,2.54752,1.41349,1.92663,0.51912,0.46824,0.41493,0.16202,2.4045,1.39657,1.80751,0.0060706,0.0060706,0.0060706
61,3891.18,2.47822,1.40811,1.88597,0.46612,0.42524,0.39763,0.14469,2.27431,1.36924,1.68303,0.006004,0.006004,0.006004
62,3961.28,2.52711,1.38236,1.87783,0.3863,0.33412,0.26917,0.09382,2.67198,2.00444,1.91041,0.0059374,0.0059374,0.0059374
63,4027.21,2.52285,1.44659,1.90221,0.44611,0.46353,0.39498,0.1542,2.4088,1.34151,1.7594,0.0058708,0.0058708,0.0058708
64,4100.61,2.51355,1.39349,1.89985,0.46406,0.44471,0.4085,0.15496,2.45267,1.543,1.78942,0.0058042,0.0058042,0.0058042
65,4167.82,2.53631,1.46112,1.93209,0.50061,0.45176,0.44305,0.17454,2.29505,1.28616,1.73526,0.0057376,0.0057376,0.0057376
66,4234.37,2.52033,1.41903,1.88684,0.43099,0.39529,0.35489,0.13171,2.46309,1.42908,1.75179,0.005671,0.005671,0.005671
67,4303.09,2.48551,1.43136,1.83999,0.53422,0.41882,0.40907,0.15861,2.3331,1.32959,1.70337,0.0056044,0.0056044,0.0056044
68,4372.36,2.45545,1.4122,1.85041,0.46435,0.42588,0.39376,0.16507,2.32626,1.51053,1.7133,0.0055378,0.0055378,0.0055378
69,4442.69,2.45937,1.3572,1.86851,0.49767,0.48,0.45459,0.17717,2.30276,1.6139,1.71299,0.0054712,0.0054712,0.0054712
70,4516.67,2.37002,1.4968,1.82033,0.4726,0.43294,0.41074,0.15697,2.2997,1.39621,1.74305,0.0054046,0.0054046,0.0054046
71,4589.71,2.46855,1.39445,1.89124,0.49989,0.47509,0.43935,0.17062,2.2282,1.38918,1.68387,0.005338,0.005338,0.005338
72,4661.39,2.41768,1.31898,1.84929,0.46345,0.47059,0.43007,0.15958,2.28982,1.36539,1.70305,0.0052714,0.0052714,0.0052714
73,4737.59,2.48306,1.3309,1.88741,0.49588,0.45364,0.46057,0.18582,2.25578,1.26363,1.69075,0.0052048,0.0052048,0.0052048
74,4813.28,2.40413,1.35423,1.8392,0.57294,0.42824,0.48086,0.19279,2.26178,1.33108,1.64495,0.0051382,0.0051382,0.0051382
75,4886.24,2.4476,1.37054,1.84411,0.55057,0.50353,0.48239,0.20377,2.22461,1.45227,1.64823,0.0050716,0.0050716,0.0050716
76,4956.6,2.41568,1.3407,1.82597,0.57095,0.43294,0.43685,0.17961,2.26152,1.25578,1.64728,0.005005,0.005005,0.005005
77,5026.53,2.40796,1.33742,1.79549,0.56248,0.42118,0.41725,0.17143,2.30805,1.3026,1.65396,0.0049384,0.0049384,0.0049384
78,5096.73,2.3802,1.30556,1.8107,0.55776,0.51059,0.48076,0.19464,2.23104,1.45653,1.65711,0.0048718,0.0048718,0.0048718
79,5170.05,2.38643,1.29044,1.80211,0.54328,0.49882,0.44978,0.18483,2.17472,1.43845,1.62282,0.0048052,0.0048052,0.0048052
80,5242,2.37218,1.26905,1.80435,0.48459,0.46588,0.43553,0.17566,2.22273,1.27839,1.65199,0.0047386,0.0047386,0.0047386
81,5312.98,2.35995,1.40682,1.80422,0.56968,0.48235,0.46952,0.19576,2.20386,1.29418,1.64105,0.004672,0.004672,0.004672
82,5386.98,2.41142,1.28315,1.82091,0.54858,0.53647,0.50962,0.21069,2.26942,1.23728,1.66243,0.0046054,0.0046054,0.0046054
83,5458.97,2.29608,1.28042,1.78606,0.5516,0.50364,0.47029,0.19476,2.18172,1.33916,1.61543,0.0045388,0.0045388,0.0045388
84,5531.14,2.31222,1.3166,1.78664,0.53644,0.48235,0.46295,0.18831,2.2862,1.24994,1.68767,0.0044722,0.0044722,0.0044722
85,5599.53,2.37446,1.29237,1.81814,0.53492,0.50118,0.47316,0.20186,2.19836,1.1968,1.60715,0.0044056,0.0044056,0.0044056
86,5671.87,2.33313,1.28231,1.77387,0.50897,0.48941,0.47356,0.19795,2.22726,1.28561,1.61712,0.004339,0.004339,0.004339
87,5742.33,2.32604,1.26276,1.7727,0.56212,0.46353,0.48165,0.19011,2.31043,1.28587,1.68405,0.0042724,0.0042724,0.0042724
88,5810.31,2.32739,1.22499,1.79076,0.59502,0.54588,0.54635,0.23101,2.20296,1.24745,1.62677,0.0042058,0.0042058,0.0042058
89,5876.69,2.32089,1.25774,1.75821,0.55693,0.53412,0.52937,0.21722,2.18099,1.1779,1.61616,0.0041392,0.0041392,0.0041392
90,5944.2,2.28495,1.23467,1.71578,0.57469,0.5405,0.53267,0.22186,2.22112,1.30603,1.6322,0.0040726,0.0040726,0.0040726
91,6008.32,2.32554,1.35167,1.76845,0.56744,0.48706,0.50922,0.21103,2.15967,1.15183,1.61259,0.004006,0.004006,0.004006
92,6076.56,2.34756,1.24926,1.76924,0.59858,0.52941,0.53084,0.22425,2.14109,1.2835,1.59897,0.0039394,0.0039394,0.0039394
